Time	Entropy	Num. Hashtags	Num. Users	HHI	Frac. Watched
60	1.6548936420852594	14	33	0.26921335794128914	0.010638297872340425
120	2.5594645648348955	19	50	0.044069560047562434	0.0
180	1.6647805075978086	14	36	0.31394654872176403	0.0
240	1.2568585240765626	12	36	0.4327651515151516	0.0
300	1.9654058822895548	17	34	0.18385850178359095	0.011494252873563218
360	1.5378214348539279	13	40	0.33163434903047095	0.010526315789473684
420	2.0780142661419507	15	53	0.11793221388847744	0.2524271844660194
480	1.452466096800075	10	42	0.2412232051871691	0.0
540	2.261223773022218	18	43	0.0974990547183061	0.020202020202020204
600	2.0103100557722686	15	38	0.1255875528053787	0.01020408163265306
660	1.845288651706449	17	43	0.26449241210293145	0.009708737864077669
720	2.211621095978056	17	37	0.10076309399930629	0.010752688172043012
780	2.248455081013761	16	34	0.0714976915974146	0.021052631578947368
840	2.194300288680589	15	40	0.08919716646989373	0.01818181818181818
900	1.875780448623582	12	44	0.12608534322820036	0.0
960	1.6082752222568026	12	30	0.2897257700976711	0.011363636363636364
1020	1.8937798252692326	13	34	0.1506379962192816	0.14130434782608695
1080	2.1477038149232164	15	38	0.09836875926841324	0.16470588235294117
1140	2.290938869854337	16	40	0.06796116504854371	0.0
1200	2.0510834052452993	13	37	0.10387231815803243	0.0
1260	2.0825411308402195	15	42	0.11578947368421057	0.010526315789473684
1320	1.0840276146853265	10	33	0.4890419982552653	0.012658227848101266
1380	1.8024181382967008	15	35	0.22874813988095236	0.0
1440	1.6905872248443075	11	35	0.16400000000000006	0.0
1500	2.027931468963232	14	39	0.10623727064934142	0.0
1560	1.3000006528883379	12	29	0.3898989898989899	0.0
1620	1.0900537233521883	11	42	0.5247720967102656	0.0
1680	2.0115145787441717	14	57	0.10566055003889628	0.0
1740	2.1328048723600004	18	41	0.14071193215578243	0.3434343434343434
1800	1.0251796293063156	13	42	0.5907607941135637	0.0
1860	2.1212271074389304	15	35	0.12087912087912094	0.0
1920	1.9663285030830948	16	33	0.18609603164583594	0.0
1980	1.7116092073134455	16	35	0.3039165962242885	0.01098901098901099
2040	2.5737460390082223	20	39	0.054397899510681476	0.08571428571428572
2100	1.8130785508380063	15	38	0.19692747209657321	0.0
2160	2.0428762562808043	14	45	0.12241124260355031	0.0
2220	2.280391921152066	16	37	0.07905039566847147	0.09183673469387756
2280	2.133531696836969	16	39	0.10233196159122082	0.027777777777777776
2340	1.8563695576489083	14	37	0.16329794968736364	0.010869565217391304
2400	2.19451937905919	16	47	0.10881692503314125	0.0
2460	1.7879250937177453	14	44	0.23673195886300313	0.0
2520	1.842442298650554	14	48	0.17274421080649463	0.0
2580	2.003577538774687	16	40	0.14627207469062412	0.022988505747126436
2640	1.8765515738212284	15	29	0.16807318390494191	0.010869565217391304
2700	1.9400242542281543	13	49	0.1415094339622641	0.0
2760	2.081965708403832	12	35	0.07136363636363637	0.0
2820	1.9039286252101353	12	45	0.13786626596543955	0.022727272727272728
